FECHA,TPROM
2023-04-05,21.25
2023-04-04,21.700000000000003
2023-04-03,21.45
2023-04-02,18.25
2023-04-01,18.0
2023-03-31,23.85
2023-03-30,24.8
2023-03-29,27.400000000000002
2023-03-28,25.35
2023-03-27,25.1
2023-03-26,26.1
2023-03-25,25.35
2023-03-24,24.1
2023-03-23,28.75
2023-03-22,31.4
2023-03-21,30.35
2023-03-20,30.55
2023-03-19,29.1
2023-03-18,29.0
2023-03-17,29.15
2023-03-16,28.6
2023-03-15,27.0
2023-03-14,28.1
2023-03-13,31.9
2023-03-12,31.35
2023-03-11,31.75
2023-03-10,30.700000000000003
2023-03-09,28.3
2023-03-08,26.799999999999997
2023-03-07,26.5
2023-03-06,30.700000000000003
2023-03-05,30.700000000000003
2023-03-04,29.200000000000003
2023-03-03,27.55
2023-03-02,26.75
2023-03-01,28.3
2023-02-28,28.85
2023-02-27,25.6
2023-02-26,28.0
2023-02-25,28.15
2023-02-24,28.45
2023-02-23,27.0
2023-02-22,29.099999999999998
2023-02-21,28.150000000000002
2023-02-20,21.7
2023-02-19,19.1
2023-02-18,17.1
2023-02-17,18.4
2023-02-16,21.75
2023-02-15,29.25
2023-02-14,28.6
2023-02-13,30.75
2023-02-12,31.7
2023-02-11,30.1
2023-02-10,28.85
2023-02-09,25.85
2023-02-08,31.35
2023-02-07,28.5
2023-02-06,27.45
2023-02-05,26.0
2023-02-04,24.95
2023-02-03,26.1
2023-02-02,25.3
2023-02-01,30.75
2023-01-31,28.4
2023-01-30,26.6
2023-01-29,27.55
2023-01-28,25.1
2023-01-27,31.200000000000003
2023-01-26,26.55
2023-01-25,30.950000000000003
2023-01-24,32.25
2023-01-23,28.15
2023-01-22,28.35
2023-01-21,30.85
2023-01-20,34.35
2023-01-19,31.85
2023-01-18,31.15
2023-01-17,32.6
2023-01-16,30.25
2023-01-15,28.1
2023-01-14,24.75
2023-01-13,25.05
2023-01-12,28.75
2023-01-11,31.0
2023-01-10,29.95
2023-01-09,27.6
2023-01-08,28.15
2023-01-07,32.75
2023-01-06,30.1
2023-01-05,29.35
2023-01-04,28.35
2023-01-03,26.75
2023-01-02,28.049999999999997
2023-01-01,31.6
2022-12-31,32.0
2022-12-30,27.25
2022-12-29,25.8
2022-12-28,27.15
2022-12-27,24.6
2022-12-26,17.5
2022-12-25,21.25
2022-12-24,22.2
2022-12-23,28.1
2022-12-22,31.35
2022-12-21,30.1
2022-12-20,28.85
2022-12-19,24.75
2022-12-18,20.1
2022-12-17,21.0
2022-12-16,27.35
2022-12-15,28.049999999999997
2022-12-14,26.25
2022-12-13,29.2
2022-12-12,29.35
2022-12-11,28.0
2022-12-10,27.6
2022-12-09,34.45
2022-12-08,33.7
2022-12-07,32.65
2022-12-06,31.35
2022-12-05,32.0
2022-12-04,27.55
2022-12-03,24.55
2022-12-02,25.25
2022-12-01,23.1
2022-11-30,25.9
2022-11-29,28.85
2022-11-28,27.85
2022-11-27,29.5
2022-11-26,28.1
2022-11-25,29.1
2022-11-24,27.0
2022-11-23,24.85
2022-11-22,22.1
2022-11-21,23.200000000000003
2022-11-20,26.6
2022-11-19,33.1
2022-11-18,32.6
2022-11-17,32.3
2022-11-16,31.200000000000003
2022-11-15,26.15
2022-11-14,23.15
2022-11-13,20.7
2022-11-12,27.15
2022-11-11,27.05
2022-11-10,27.950000000000003
2022-11-09,27.1
2022-11-08,27.45
2022-11-07,26.25
2022-11-06,26.0
2022-11-05,25.5
2022-11-04,22.6
2022-11-03,20.6
